"","Area","ISO.3.code","Year","Continent","Biomass","Coal","Gas","Hydro","Nuclear","Other Fossil","Other Renewables","Solar","Wind"
"101","Latvia","LVA",2024,"Europe",0.000979,0,0.2654,0.5071,0,0,0,0.0853,0.0442
"102","Lebanon","LBN",2024,"Asia",5.6e-05,0,0,0.1311,0,0.5618,0,0.2996,0.0019
"103","Lesotho","LSO",2024,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Liberia","LBR",2024,"Africa",0,0,0,0.5263,0,0.4561,0,0.0175,0
"105","Libya","LBY",2024,"Africa",0,0,0.7453,0,0,0.2544,0,3e-04,0
"106","Lithuania","LTU",2024,"Europe",0.001326,0,0.1137,0.0595,0,0.0433,0,0.1894,0.4614
"107","Luxembourg","LUX",2024,"Europe",0.002914,0,0.0464,0.0728,0,0.0464,0,0.2384,0.3046
"108","Macao","MAC",2024,"Asia",0.003077,0,0.6282,0,0,0.0641,0,0,0
"109","Madagascar","MDG",2024,"Africa",0.000123,0.2058,0,0.3704,0,0.3704,0,0.0412,0
"110","Malawi","MWI",2024,"Africa",0.000273,0,0,0.9235,0,0.0437,0,0.0055,0
"111","Malaysia","MYS",2024,"Asia",8.6e-05,0.4305,0.36,0.1742,NA,0.0058,NA,0.0208,0
"112","Maldives","MDV",2024,"Asia",0,0,0,0,0,0.9294,0,0.0706,0
"113","Mali","MLI",2024,"Africa",0.000117,0,0,0.1544,0,0.8054,0,0.0285,0
"114","Malta","MLT",2024,"Europe",4.6e-05,0,0.8402,0,0,0.0046,0,0.1507,0
"115","Mauritania","MRT",2024,"Africa",0,0,0,0.1014,0,0.7729,0,0.0773,0.0483
"116","Mauritius","MUS",2024,"Africa",0.000938,0.393,0,0.0323,0,0.4282,0,0.0499,0.0029
"117","Mexico","MEX",2024,"North America",0.000169,0.0349,0.6241,0.0663,0.0347,0.0952,NA,0.0724,0.0556
"118","Moldova","MDA",2024,"Europe",3.3e-05,0,0.8567,0.0527,0,0.0362,0,0.0165,0.0346
"119","Mongolia","MNG",2024,"Asia",0,0.8469,0,0.0068,0,0.0646,0,0.0238,0.0578
"120","Montenegro","MNE",2024,"Europe",0,0.4051,0,0.5014,0,0,0,0.017,0.0765
"121","Montserrat","MSR",2024,"North America",0,0,0,0,0,1,0,0,0
"122","Morocco","MAR",2024,"Africa",9e-06,0.6175,0.1021,0.0191,0,0.0363,0,0.0568,0.1672
"123","Mozambique","MOZ",2024,"Africa",6.6e-05,0,0.1582,0.8236,0,0.0076,0,0.004,0
